Country,Year-Month,Above_Threshold_Count
Japan,2024-04,485
Japan,2024-05,494
Japan,2024-06,383
Japan,2024-07,484
Japan,2024-08,423
Japan,2024-09,608
Japan,2024-10,734
Japan,2024-11,700
Japan,2024-12,687
Mexico,2023-01,333
Mexico,2023-02,329
Mexico,2023-03,443
Mexico,2023-04,378
Mexico,2023-05,404
Mexico,2023-06,407
Mexico,2023-07,357
Mexico,2023-08,313
Mexico,2023-09,409
Mexico,2023-10,592
Mexico,2023-11,634
Mexico,2023-12,495
Mexico,2024-01,422
Mexico,2024-02,423
Mexico,2024-03,290
Mexico,2024-04,391
Mexico,2024-05,366
Mexico,2024-06,241
Mexico,2024-07,350
Mexico,2024-08,313
Mexico,2024-09,441
Mexico,2024-10,559
Mexico,2024-11,502
Mexico,2024-12,505
Poland,2023-01,208
Poland,2023-02,233
Poland,2023-03,265
Poland,2023-04,248
Poland,2023-05,247
Poland,2023-06,219
Poland,2023-07,226
Poland,2023-08,212
Poland,2023-09,224
Poland,2023-10,326
Poland,2023-11,333
Poland,2023-12,288
Poland,2024-01,271
Poland,2024-02,251
Poland,2024-03,202
Poland,2024-04,242
Poland,2024-05,235
Poland,2024-06,151
Poland,2024-07,207
Poland,2024-08,222
Poland,2024-09,260
Poland,2024-10,333
Poland,2024-11,318
Poland,2024-12,324
South Africa,2023-01,176
South Africa,2023-02,206
South Africa,2023-03,266
South Africa,2023-04,236
South Africa,2023-05,253
South Africa,2023-06,255
South Africa,2023-07,202
South Africa,2023-08,194
South Africa,2023-09,227
South Africa,2023-10,369
South Africa,2023-11,368
South Africa,2023-12,292
South Africa,2024-01,247
South Africa,2024-02,248
South Africa,2024-03,221
South Africa,2024-04,228
South Africa,2024-05,201
South Africa,2024-06,153
South Africa,2024-07,209
South Africa,2024-08,209
South Africa,2024-09,281
South Africa,2024-10,331
South Africa,2024-11,313
South Africa,2024-12,295
South Korea,2023-01,294
South Korea,2023-02,241
South Korea,2023-03,318
South Korea,2023-04,282
South Korea,2023-05,278
South Korea,2023-06,297
South Korea,2023-07,274
South Korea,2023-08,229
South Korea,2023-09,298
South Korea,2023-10,447
South Korea,2023-11,454
South Korea,2023-12,417
South Korea,2024-01,311
South Korea,2024-02,293
South Korea,2024-03,267
South Korea,2024-04,306
South Korea,2024-05,298
South Korea,2024-06,206
South Korea,2024-07,260
South Korea,2024-08,266
South Korea,2024-09,336
South Korea,2024-10,392
South Korea,2024-11,417
South Korea,2024-12,388
Spain,2023-01,227
Spain,2023-02,225
Spain,2023-03,284
Spain,2023-04,273
Spain,2023-05,272
Spain,2023-06,294
Spain,2023-07,230
Spain,2023-08,260
Spain,2023-09,282
Spain,2023-10,420
Spain,2023-11,433
Spain,2023-12,370
Spain,2024-01,294
Spain,2024-02,294
Spain,2024-03,257
Spain,2024-04,272
Spain,2024-05,282
Spain,2024-06,205
Spain,2024-07,238
Spain,2024-08,259
Spain,2024-09,343
Spain,2024-10,408
Spain,2024-11,375
Spain,2024-12,421
Thailand,2023-01,94
Thailand,2023-02,77
Thailand,2023-03,95
Thailand,2023-04,79
Thailand,2023-05,95
Thailand,2023-06,90
Thailand,2023-07,77
Thailand,2023-08,66
Thailand,2023-09,95
Thailand,2023-10,115
Thailand,2023-11,144
Thailand,2023-12,135
Thailand,2024-01,98
Thailand,2024-02,123
Thailand,2024-03,85
Thailand,2024-04,82
Thailand,2024-05,98
Thailand,2024-06,70
Thailand,2024-07,91
Thailand,2024-08,75
Thailand,2024-09,114
Thailand,2024-10,134
Thailand,2024-11,125
Thailand,2024-12,113
Turkey,2023-01,152
Turkey,2023-02,143
Turkey,2023-03,170
Turkey,2023-04,153
Turkey,2023-05,173
Turkey,2023-06,166
Turkey,2023-07,156
Turkey,2023-08,124
Turkey,2023-09,148
Turkey,2023-10,255
Turkey,2023-11,257
Turkey,2023-12,212
Turkey,2024-01,184
Turkey,2024-02,178
Turkey,2024-03,140
Turkey,2024-04,161
Turkey,2024-05,157
Turkey,2024-06,95
Turkey,2024-07,148
Turkey,2024-08,144
Turkey,2024-09,205
Turkey,2024-10,241
Turkey,2024-11,202
Turkey,2024-12,213
UAE,2023-01,63
UAE,2023-02,51
UAE,2023-03,85
UAE,2023-04,76
UAE,2023-05,67
UAE,2023-06,72
UAE,2023-07,65
UAE,2023-08,73
UAE,2023-09,92
UAE,2023-10,115
UAE,2023-11,144
UAE,2023-12,107
UAE,2024-01,87
UAE,2024-02,75
UAE,2024-03,72
UAE,2024-04,80
UAE,2024-05,85
UAE,2024-06,52
UAE,2024-07,62
UAE,2024-08,70
UAE,2024-09,76
UAE,2024-10,111
UAE,2024-11,94
UAE,2024-12,108
UK,2023-01,472
UK,2023-02,431
UK,2023-03,515
UK,2023-04,453
UK,2023-05,429
UK,2023-06,479
UK,2023-07,462
UK,2023-08,437
UK,2023-09,492
UK,2023-10,676
UK,2023-11,770
UK,2023-12,676
UK,2024-01,535
UK,2024-02,542
UK,2024-03,436
UK,2024-04,501
UK,2024-05,470
UK,2024-06,331
UK,2024-07,407
UK,2024-08,433
UK,2024-09,496
UK,2024-10,690
UK,2024-11,650
UK,2024-12,662
USA,2023-01,900
USA,2023-02,895
USA,2023-03,1083
USA,2023-04,971
USA,2023-05,963
USA,2023-06,1029
USA,2023-07,929
USA,2023-08,913
USA,2023-09,984
USA,2023-10,1508
USA,2023-11,1588
USA,2023-12,1387
USA,2024-01,1148
USA,2024-02,1096
USA,2024-03,964
USA,2024-04,973
USA,2024-05,923
USA,2024-06,688
USA,2024-07,900
USA,2024-08,925
USA,2024-09,1142
USA,2024-10,1489
USA,2024-11,1368
USA,2024-12,1350
Vietnam,2023-01,316
Vietnam,2023-02,322
Vietnam,2023-03,403
Vietnam,2023-04,393
Vietnam,2023-05,361
Vietnam,2023-06,423
Vietnam,2023-07,375
Vietnam,2023-08,300
Vietnam,2023-09,364
Vietnam,2023-10,601
Vietnam,2023-11,582
Vietnam,2023-12,474
Vietnam,2024-01,449
Vietnam,2024-02,433
Vietnam,2024-03,371
Vietnam,2024-04,362
Vietnam,2024-05,365
Vietnam,2024-06,257
Vietnam,2024-07,329
Vietnam,2024-08,311
Vietnam,2024-09,419
Vietnam,2024-10,517
Vietnam,2024-11,529
Vietnam,2024-12,490
