mean,mean_se,mean_ci_lower,mean_ci_upper,Country,Year-Month
110.97273209540688,15.266731580946017,81.05048803511245,140.89497615570133,Argentina,2025-01
71.70879746959534,15.648732382471557,41.03784559624541,102.37974934294527,Argentina,2025-02
35.9768470712448,15.858706349477059,4.894353784873086,67.0593403576165,Argentina,2025-03
72.85668905693585,16.011160740210624,41.47539065544136,104.23798745843034,Argentina,2025-04
49.484488333559646,16.143225747863237,17.844347273448022,81.12462939367127,Argentina,2025-05
-10.513306326479412,16.267514291289128,-42.39704845539673,21.3704358024379,Argentina,2025-06
33.483812533293374,16.388252202117894,1.3634284475830754,65.60419661900367,Argentina,2025-07
54.290592954099985,16.50646152525562,21.938522852402883,86.64266305579709,Argentina,2025-08
80.08845815988772,16.621197908318074,47.511508879671815,112.66540744010362,Argentina,2025-09
63.29988234641239,16.728433361949858,30.512755439212377,96.0870092536124,Argentina,2025-10
60.250973309314084,16.81621903150518,27.291789651426903,93.21015696720127,Argentina,2025-11
87.74622309754086,16.84971504229827,54.721388464873456,120.77105773020827,Argentina,2025-12
313.28091323815005,51.926541656842986,211.50676174901898,415.0550647272811,Australia,2025-01
297.3267983715815,52.34010850419927,194.74207075643233,399.9115259867307,Australia,2025-02
377.5021749634151,52.70058881513577,274.2109189216946,480.7934310051356,Australia,2025-03
360.3787663814936,53.056728132223085,256.38949010480326,464.368042658184,Australia,2025-04
354.9894978071572,53.41042082876435,250.3069965836511,459.6719990306633,Australia,2025-05
353.19447476762866,53.76178393494306,247.82331451051618,458.56563502474114,Australia,2025-06
320.81149035790645,54.110865445856525,214.75614291173477,426.86683780407816,Australia,2025-07
315.7007537505565,54.45770932218822,208.9656047985164,422.43590270259654,Australia,2025-08
392.88005060346876,54.802357670428144,285.46940330154723,500.2906979053903,Australia,2025-09
547.9327887194441,55.144841753754314,439.8508849489251,656.0146924899632,Australia,2025-10
606.2973391126344,55.48494577277577,497.548843713836,715.0458345114329,Australia,2025-11
504.2453338917136,55.81609844122431,394.84779118937166,613.6428765940555,Australia,2025-12
376.8914475011396,50.97792800259255,276.97654460958233,476.8063503926969,Brazil,2025-01
382.67999745724404,51.40051080931767,281.93684748401967,483.4231474304684,Brazil,2025-02
495.21209283973366,51.49178280557402,394.29005304104976,596.1341326384176,Brazil,2025-03
443.67742883057815,51.511964567123684,342.71583350611235,544.639024155044,Brazil,2025-04
468.32522402780165,51.51645386584612,367.35482983952403,569.2956182160792,Brazil,2025-05
408.73342385912207,51.51746795093555,307.7610421005919,509.70580561765223,Brazil,2025-06
385.50884577947664,51.51776116718415,284.53588932765956,486.4818022312937,Brazil,2025-07
402.7675438739833,51.51812925015191,301.79386599280605,503.74122175516055,Brazil,2025-08
441.9923530760677,51.51956989702826,341.0158515788983,542.968854573237,Brazil,2025-09
635.7529574753273,51.525984865970244,534.7638828700698,736.7420320805849,Brazil,2025-10
649.6548457251266,51.55470119654678,548.6094881461709,750.7002033040824,Brazil,2025-11
597.7666055233118,51.68234673521848,496.47106728577234,699.0621437608513,Brazil,2025-12
374.6150697575879,74.94370113472019,227.72811466540276,521.5020248497731,Canada,2025-01
351.1255429035592,77.68008923251082,198.87536569198036,503.37572011513805,Canada,2025-02
318.3015048472114,78.0737126881804,165.27983983904997,471.32316985537284,Canada,2025-03
338.64118476211775,78.16320879862108,185.44411060073617,491.8382589234993,Canada,2025-04
351.34429637767425,78.19834941841052,198.07834786711095,504.61024488823756,Canada,2025-05
256.0049213992605,78.22291012777106,102.6908347829158,409.3190080156053,Canada,2025-06
295.3172554440932,78.24538638795829,141.95911616727435,448.675394720912,Canada,2025-07
298.06787290553603,78.26752924277685,144.66633443075793,451.4694113803141,Canada,2025-08
366.8418500375685,78.29002647768816,213.3962177926125,520.2874822825245,Canada,2025-09
495.0629577647742,78.31468991569865,341.5689860695827,648.5569294599657,Canada,2025-10
509.3550680688637,78.35010106826356,355.79169178999393,662.9184443477335,Canada,2025-11
510.3480738244557,78.43728053238715,356.61382893571215,664.0823187131992,Canada,2025-12
415.1111540904137,62.833608826579024,291.95954377164077,538.2627644091866,China,2025-01
385.765217478782,63.233743777942664,261.8293570663807,509.70107789118333,China,2025-02
471.256078349673,63.36175328158084,347.06932392046195,595.4428327788839,China,2025-03
442.0392912630665,63.403187289585766,317.77132767043065,566.3072548557024,China,2025-04
465.54815998079914,63.416704443270554,341.25370325376764,589.8426167078306,China,2025-05
437.51691717478076,63.42128941249961,313.21347407319007,561.8203602763715,China,2025-06
404.6925472785024,63.42336107456469,280.38504379387604,529.0000507631288,China,2025-07
381.14161588896553,63.425813175301755,256.82930637520803,505.45392540272303,China,2025-08
449.9028349710934,63.43206871416243,325.5782648264651,574.2274051157217,China,2025-09
661.813139259893,63.45085794773053,537.4517428941741,786.1745356256118,China,2025-10
718.5237869512896,63.508323363233934,594.0497604408274,842.9978134617518,China,2025-11
634.6835093772365,63.683578921319786,509.8659882848356,759.5010304696375,China,2025-12
407.43364579064604,8.990847023865808,389.8119094333599,425.05538214793216,France,2025-01
432.14162220450544,9.003856987763413,414.49438678653985,449.788857622471,France,2025-02
286.21056451968167,9.0058972501271,268.55933026096426,303.8617987783991,France,2025-03
213.77051312952105,9.006326703789632,196.11843715709205,231.42258910195005,France,2025-04
335.8314156624506,9.006443299697201,318.17911116624197,353.4837201586592,France,2025-05
